epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.368,0.98854,1.27024,1.19194,0.66594,0.5733,0.58973,0.35908,1.09745,2.32263,1.26695,0.0671341,0.000331978,0.000331978
2,258.207,1.04608,1.0049,1.22016,0.68264,0.57992,0.6525,0.43565,1.13141,1.40796,1.29295,0.0341309,0.000662018,0.000662018
3,369.29,1.03874,0.93482,1.19655,0.67144,0.62057,0.6614,0.44367,1.11786,1.56726,1.23545,0.00112426,0.000988758,0.000988758
4,478.033,0.97907,0.86251,1.16158,0.83744,0.756,0.82956,0.56562,1.0592,0.89185,1.20127,0.00098515,0.00098515,0.00098515
5,585.993,0.90768,0.76931,1.12096,0.83124,0.71468,0.81474,0.58502,0.97873,0.84417,1.15704,0.0009802,0.0009802,0.0009802
6,694.501,0.8479,0.69707,1.08135,0.81782,0.74733,0.82734,0.58927,0.98191,0.91256,1.16827,0.00097525,0.00097525,0.00097525
7,802.116,0.79835,0.64854,1.05361,0.86607,0.72596,0.8212,0.59633,0.92645,0.88443,1.12897,0.0009703,0.0009703,0.0009703
8,914.491,0.76203,0.60913,1.02974,0.88763,0.82894,0.88308,0.64259,0.913,0.68395,1.11446,0.00096535,0.00096535,0.00096535
9,1020.76,0.7268,0.56533,1.01277,0.90103,0.82358,0.887,0.6538,0.89516,0.6549,1.112,0.0009604,0.0009604,0.0009604
10,1128.06,0.70108,0.54484,0.99878,0.80609,0.73623,0.80548,0.59733,0.90908,0.78215,1.12271,0.00095545,0.00095545,0.00095545
11,1236.04,0.66694,0.51803,0.97669,0.8845,0.82341,0.88353,0.65954,0.83981,0.64326,1.07028,0.0009505,0.0009505,0.0009505
12,1342.69,0.63722,0.48752,0.95988,0.88625,0.82906,0.88998,0.67458,0.84278,0.61873,1.07597,0.00094555,0.00094555,0.00094555
13,1450.78,0.62842,0.46611,0.95492,0.91368,0.85181,0.91015,0.69771,0.80895,0.59486,1.05776,0.0009406,0.0009406,0.0009406
14,1558.9,0.60367,0.44574,0.93958,0.90075,0.82348,0.89843,0.68145,0.83318,0.62493,1.08897,0.00093565,0.00093565,0.00093565
15,1666.56,0.58761,0.43657,0.93433,0.91037,0.82334,0.89895,0.68882,0.80641,0.59032,1.07004,0.0009307,0.0009307,0.0009307
16,1773.38,0.55662,0.42656,0.91777,0.89742,0.85179,0.90638,0.69107,0.82938,0.59008,1.08109,0.00092575,0.00092575,0.00092575
17,1880.2,0.54376,0.40691,0.91372,0.90953,0.86847,0.90991,0.69568,0.79721,0.55109,1.0705,0.0009208,0.0009208,0.0009208
18,1986.82,0.52526,0.39473,0.90099,0.89821,0.86012,0.90928,0.69327,0.82018,0.54642,1.07671,0.00091585,0.00091585,0.00091585
19,2093.11,0.51993,0.38479,0.89831,0.87167,0.82726,0.8804,0.66343,0.82366,0.61093,1.08711,0.0009109,0.0009109,0.0009109
20,2200.43,0.50411,0.36498,0.89197,0.91107,0.86385,0.91178,0.69952,0.78765,0.56755,1.06866,0.00090595,0.00090595,0.00090595
21,2308.86,0.49488,0.35597,0.88784,0.90555,0.85408,0.8976,0.69103,0.79675,0.5395,1.06801,0.000901,0.000901,0.000901
22,2416.19,0.48714,0.35309,0.87816,0.94585,0.84405,0.91708,0.7146,0.78494,0.53309,1.07296,0.00089605,0.00089605,0.00089605
23,2524.85,0.46773,0.33656,0.87191,0.91144,0.87049,0.91911,0.71961,0.76018,0.52359,1.0587,0.0008911,0.0008911,0.0008911
24,2633.05,0.45197,0.32854,0.86696,0.93343,0.84418,0.91854,0.72199,0.75287,0.54677,1.04757,0.00088615,0.00088615,0.00088615
25,2741.37,0.45434,0.32566,0.8606,0.94405,0.85945,0.91721,0.72865,0.77482,0.52151,1.06423,0.0008812,0.0008812,0.0008812
26,2849.85,0.43975,0.31905,0.85748,0.90406,0.86763,0.90465,0.7126,0.77791,0.53261,1.07099,0.00087625,0.00087625,0.00087625
27,2957.29,0.43091,0.30928,0.8521,0.91596,0.8717,0.92051,0.72765,0.7646,0.5086,1.05929,0.0008713,0.0008713,0.0008713
28,3064.16,0.41528,0.30168,0.84751,0.93088,0.87024,0.91416,0.71321,0.77678,0.51316,1.08561,0.00086635,0.00086635,0.00086635
29,3172,0.40549,0.2961,0.84252,0.93834,0.8601,0.91976,0.71244,0.77929,0.50803,1.07393,0.0008614,0.0008614,0.0008614
30,3278.26,0.39868,0.28743,0.84108,0.91515,0.87204,0.92013,0.72601,0.76154,0.50664,1.0762,0.00085645,0.00085645,0.00085645
31,3383.5,0.39376,0.28646,0.83804,0.94078,0.87675,0.92404,0.73531,0.73506,0.48311,1.04915,0.0008515,0.0008515,0.0008515
32,3495.75,0.38266,0.27632,0.83454,0.91993,0.87796,0.91911,0.73316,0.7391,0.52041,1.05801,0.00084655,0.00084655,0.00084655
33,3603.2,0.36752,0.27291,0.82879,0.91998,0.87228,0.92079,0.73276,0.73589,0.4924,1.05487,0.0008416,0.0008416,0.0008416
34,3713,0.37152,0.27463,0.82922,0.93715,0.85936,0.92375,0.73544,0.74166,0.48287,1.05262,0.00083665,0.00083665,0.00083665
35,3819.81,0.35738,0.26532,0.82439,0.93836,0.87481,0.92712,0.74063,0.74379,0.4771,1.06298,0.0008317,0.0008317,0.0008317
