epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.208,1.13515,1.73828,1.16476,0.39953,0.41448,0.3893,0.26538,1.21155,1.96424,1.1936,0.0671341,0.000331978,0.000331978
2,202.397,1.02213,1.0904,1.11797,0.79052,0.70461,0.78068,0.50928,1.07344,1.04804,1.12716,0.0341309,0.000662018,0.000662018
3,297.236,1.00866,0.95036,1.1066,0.82412,0.70384,0.80266,0.51499,1.09447,0.98016,1.1292,0.00112426,0.000988758,0.000988758
4,394.427,0.96294,0.8764,1.08469,0.77808,0.75456,0.82062,0.55429,1.06388,0.94008,1.12879,0.00098515,0.00098515,0.00098515
5,488.994,0.89717,0.78732,1.04621,0.76977,0.75405,0.82714,0.56928,0.99258,0.92726,1.09137,0.0009802,0.0009802,0.0009802
6,582.321,0.84956,0.72792,1.02039,0.8201,0.78131,0.84215,0.59789,0.9925,0.82763,1.08365,0.00097525,0.00097525,0.00097525
7,676.279,0.82416,0.67374,1.00777,0.85254,0.78286,0.86004,0.60537,0.97237,0.76969,1.0712,0.0009703,0.0009703,0.0009703
8,770.238,0.77493,0.62368,0.98293,0.84973,0.80323,0.86683,0.62257,0.95761,0.73212,1.07028,0.00096535,0.00096535,0.00096535
9,861.237,0.75164,0.60165,0.97014,0.87914,0.8296,0.88498,0.638,0.93797,0.72237,1.06558,0.0009604,0.0009604,0.0009604
10,955.627,0.73248,0.56602,0.96369,0.87984,0.80054,0.877,0.63529,0.92667,0.70251,1.05912,0.00095545,0.00095545,0.00095545
11,1048.52,0.6982,0.53746,0.94506,0.88308,0.81894,0.88616,0.6404,0.89904,0.67794,1.04311,0.0009505,0.0009505,0.0009505
12,1141.57,0.69603,0.52664,0.94108,0.89027,0.83137,0.88775,0.65796,0.89171,0.67471,1.03321,0.00094555,0.00094555,0.00094555
